none[0.6779]  arg1_node[0.2749]  arg2_node[0.0472]  none
none[0.0380]  arg1_node[0.9620]  arg2_node[0.0000]  arg1_node
none[0.9972]  arg1_node[0.0023]  arg2_node[0.0005]  none
none[0.9972]  arg1_node[0.0023]  arg2_node[0.0005]  none
none[0.9989]  arg1_node[0.0003]  arg2_node[0.0008]  none
none[0.0761]  arg1_node[0.0007]  arg2_node[0.9231]  arg2_node
none[0.9977]  arg1_node[0.0001]  arg2_node[0.0022]  none
none[0.9701]  arg1_node[0.0001]  arg2_node[0.0298]  none
none[0.9977]  arg1_node[0.0001]  arg2_node[0.0022]  none
