66ACF9CB.txt.ptree,0,5,0..4,Shit
66ACF9CB.txt.ptree,0,8,5..7,by
66ACF9CB.txt.ptree,0,11,8..12,baby
66ACF9CB.txt.ptree,0,13,13..22,murderers
66ACF9CB.txt.ptree,0,17,23..28,logic
66ACF9CB.txt.ptree,0,19,29..36,killing
66ACF9CB.txt.ptree,0,21,37..43,anyone
66ACF9CB.txt.ptree,0,25,44..48,that
66ACF9CB.txt.ptree,0,29,48..50,'s
66ACF9CB.txt.ptree,0,32,51..53,an
66ACF9CB.txt.ptree,0,34,54..67,inconvenience
66ACF9CB.txt.ptree,0,37,68..70,is
66ACF9CB.txt.ptree,0,40,71..78,totally
66ACF9CB.txt.ptree,0,42,79..90,justifiable
66ACF9CB.txt.ptree,0,44,90..91,.
66ACF9CB.txt.ptree,1,5,92..94,Y'
66ACF9CB.txt.ptree,1,9,94..97,all
66ACF9CB.txt.ptree,1,13,98..102,just
66ACF9CB.txt.ptree,1,15,103..104,a
66ACF9CB.txt.ptree,1,17,105..110,bunch
66ACF9CB.txt.ptree,1,20,111..113,of
66ACF9CB.txt.ptree,1,23,114..124,hypocrites
66ACF9CB.txt.ptree,1,25,124..125,.
66ACF9CB.txt.ptree,2,5,126..130,Dumb
66ACF9CB.txt.ptree,2,8,131..135,ones
66ACF9CB.txt.ptree,2,11,136..138,at
66ACF9CB.txt.ptree,2,14,139..143,that
