D1606455.txt.ptree,0,5,0..3,You
D1606455.txt.ptree,0,8,4..16,motherfucker
D1606455.txt.ptree,0,10,16..17,.
D1606455.txt.ptree,1,5,18..21,You
D1606455.txt.ptree,1,8,22..26,know
D1606455.txt.ptree,1,12,27..31,damn
D1606455.txt.ptree,1,14,32..36,well
D1606455.txt.ptree,1,18,37..41,that
D1606455.txt.ptree,1,22,41..43,'s
D1606455.txt.ptree,1,24,44..47,not
D1606455.txt.ptree,1,28,48..52,what
D1606455.txt.ptree,1,32,53..54,I
D1606455.txt.ptree,1,35,54..56,'m
D1606455.txt.ptree,1,38,57..62,about
D1606455.txt.ptree,1,40,62..63,.
D1606455.txt.ptree,2,6,66..67,I
D1606455.txt.ptree,2,9,68..72,hate
D1606455.txt.ptree,2,12,73..76,you
D1606455.txt.ptree,2,14,76..77,COMMA
D1606455.txt.ptree,2,17,78..81,you
D1606455.txt.ptree,2,20,82..88,fuckin
D1606455.txt.ptree,2,23,89..95,legend
D1606455.txt.ptree,2,25,95..96,.
